COMPANY_ID,COMPANY_NAME,COMPANY_RAW,COMPANY_IS_STAFFING
894731.0,Murphy USA,Murphy USA,False
133098.0,Smx Corporation Limited,SMX,True
39063746.0,Sedgwick,Sedgwick,False
37615159.0,Wells Fargo,Wells Fargo,False
0.0,Unclassified,LH/GM,False
2233642.0,Lumen Technologies,Lumen,False
44896740.0,Semiconductor Components Industries,"Semiconductor Components Industries, LLC",False
100173263.0,Global Enterprise Partners,Global Enterprise Partners,True
39016169.0,Dassault SystÃ¨mes,Dassault Systmes,False
12147696.0,DCS Corporation,DCS Corp.,False
4063994.0,Allegis Group,TEKsystems c/o Allegis Group,True
34294036.0,Equifax,"Equifax, Inc.",False
5732448.0,Deloitte,Deloitte,False
38205299.0,Lincoln Financial Group,Lincoln Financial Group,False
1967.0,Boston University,Boston University,False
8592955.0,Accenture,Accenture,False
39192167.0,Surgical Care Affiliates,Surgical Care Affiliates SCA,False
40794223.0,Aircall International Limited,Aircall,False
6915630.0,Humana,Humana,False
99484525.0,BCforward,BCforward,True
44726222.0,Red Cedar Consultancy,Red Cedar Consultancy LLC,False
3995324.0,Michelin,Michelin,False
99487184.0,Ic-Cap,"IC-CAP, LLC",False
41994151.0,Genesis10,GENESIS 10,True
0.0,Unclassified,Unknown,False
4808322.0,Bank of America,Bank of America,False
897843.0,Carlson,Carlson,False
79037757.0,Acumed,Acumed,False
40887016.0,V2Soft,V2soft Inc.,False
50931637.0,Decisionpoint,DecisionPoint Corporation,False
36969497.0,Meta,META,False
34422280.0,Insight Global,Insight Global,True
40433319.0,CodeForce 360,Codeforce 360,False
40271979.0,ASM Research,"ASM Research, LLC",False
34740908.0,Htc Global Services,HTC Global Services,True
39295481.0,United States Department of Transportation,Department of Transportation,False
0.0,Unclassified,I20 Technologies,False
51287482.0,Merit America,Merit America,False
0.0,Unclassified,HII's Mission Technologies division,False
43145396.0,Jobot,Jobot,True
40244766.0,Nextrow,NextRow Inc.,False
39605703.0,Aptino,Aptino,False
40231689.0,Mckinsol Consulting,McKinsol Consulting Inc,False
99500509.0,California Department Of Housing & Community Development,California Department of Housing and Community Development,False
20.0,Amazon,Amazon,False
37982343.0,Virtusa,Virtusa Corporation,False
97959425.0,Nepstaff,Nepstaff,False
59105692.0,Talent Group - ConsultorÃ­a de Recursos Humanos,Talent Group,True
0.0,Unclassified,Ocean Flex International int,False
39540480.0,AstraZeneca,AstraZeneca,False
40887016.0,V2Soft,V2Soft,False
11402410.0,Infosys,Infosys,False
99490866.0,Tek Inspirations,Tek Inspirations LLC,False
41810646.0,Paramount Software Solutions,"Paramount Software Solutions, Inc",False
99534981.0,Shrive Technologies,Shrive Technologies LLC,False
86630087.0,Randstad,Randstad US,True
39550079.0,Directviz Solutions,"DirectViz Solutions, LLC",False
39231563.0,Ukpeagvik Inupiat Corporation,UIC Alaska,False
40406359.0,California Physicians' Service,Blue Shield of California,False
40535105.0,TDL Staffing,"TDL Staffing, Inc.",True
32566379.0,Fastly,Fastly,False
75803554.0,Midtown Chimney Sweeps,Midtown Chimney Sweeps,False
99481774.0,Tekfortune,Tekfortune Inc.,False
40125346.0,City of Philadelphia,City of Philadelphia,False
35609569.0,System One,"System One, Inc",True
44026641.0,Vizient,"Vizient, Inc.",False
104411871.0,Blue Cross Blue Shield,Blue Cross and Blue Shield of North Carolina,False
6076858.0,Vaco,Vaco,True
